;90d_enisa;Marca
0;501;Let's cook
1;501;YOLEO
2;501;Bag on Board
3;501;Win Life
4;501;NEXT GEN
5;501;Heris
6;501;Enjoyers
7;501;Ultimate Gamers
8;501;BCOME
9;501;Velca
10;501;PATRONUM
11;501;My Stage Manager
12;501;PROTE
13;501;BAJO CERO
14;501;PORTER
15;501;Premium Guest
16;501;micole
17;501;TARUGA
18;501;Yees
19;501;Blooming
20;501;Copy Print
21;501;El Coco
22;501;Karibou
23;501;Moonshot
24;501;FOOD STORIES
25;501;GRUPO VS
26;501;VOLAVA
27;501;Peninsula
28;501;INGENIERIA SOCIAL
29;501;Student Guru
30;501;ESTO ES, COMER COMER
31;501;Smart Protection
32;501;SHAKERS
33;501;DAIL
34;501;La Siesta
35;501;Cleer
36;501;Pulpo
37;501;Great Little People
38;501;Noysi
39;501;Coded People
40;498;The Wum
41;487;DAWAKO
42;452;LA CAFE ORIGINAL
43;317;LE ROOM SERVICE
44;236;Ntente
45;215;Reclamadatos
46;206;THE NEEDO
47;170;YOU BUMERANG
48;135;IOMED
49;123;INVIERTIS
50;122;HOBEEN
51;117;GAYCON
52;116;Streamion
53;105;IDENCITY
54;96;TWELVE OAKS PICTURES
55;89;ENCANTADO DE COMERTE
56;88;Kelisto
57;82;TRAVEL SAX
58;82;CULTIPLY
59;70;Smartfincas
60;68;Twenix
61;66;AMA CLINICS
62;58;MIMOTO PARKING
63;57;Aldous Bio
64;57;MEETOPTICS
65;50;FASTBASE
66;47;PANDA BIKES
67;47;BASICO FOODS
68;40;Zankyou Weddings
69;35;Mooevo
70;34;Masentí
71;31;Nespra
72;29;Syra Coffee
73;22;iCommunity Labs
74;22;BECRIT
75;20;NOGEBUS
76;20;DONEXT
77;19;TSR Wind
78;18;ORDATIC
79;17;INHIBITEC
80;17;IRONCHIP TELCO
81;16;IBERBOX
82;14;Imperia SCM
83;12;Teapical
84;11;HEDYLA
85;11;NEXTMOL
86;10;SleepControl
87;10;Hinsomnia
88;10;Wanatruck
89;9;Tucuvi
90;8;WOLORENT
91;8;NORA REAL FOOD
92;5;BIOFRUIT
93;2;Smile2Impress
94;2;PIXITOUR
95;2;Comovita
96;2;InsectFit
97;2;Dos profes en apuros
98;1;Mimoke
99;1;IPROTEOS
100;1;AFEEDME
101;1;Micocar
